agent_id,epoch,mean_dominant_probability,mean_effective_experts,mean_gate_entropy,mean_influence_weight,mean_normalized_gate_entropy,modal_expert,modal_expert_fraction,n_observations,split,std_gate_entropy,unique_dominant_experts
0,0,0.25807578563690187,3.998878526687622,1.38601393699646,0.01389528913423419,0.9997977137565612,3,1.0,5,validation,1.4279411987548118e-05,1
1,0,0.25258545875549315,3.9996313095092773,1.3862021923065186,0.05382361263036728,0.9999335169792175,0,1.0,5,validation,9.213651980197766e-06,1
2,0,0.25587313175201415,3.999407482147217,1.3861462354660035,0.10877193063497544,0.9998931407928466,1,1.0,5,validation,2.0380953935607495e-06,1
3,0,0.2558202385902405,3.9996281623840333,1.3862014055252074,0.08079610839486122,0.9999329566955566,0,1.0,5,validation,2.459585504157457e-06,1
4,0,0.254424512386322,3.999673938751221,1.3862128496170043,0.047073391079902646,0.9999411940574646,3,1.0,5,validation,6.638576853722826e-06,1
5,0,0.261542010307312,3.9976250171661376,1.3857004404067994,0.03639259599149227,0.9995715618133545,3,1.0,5,validation,1.4944585470164695e-05,1
6,0,0.25925583839416505,3.998559808731079,1.3859342575073241,0.11537306606769562,0.9997402429580688,3,1.0,5,validation,3.14439669727139e-05,1
7,0,0.2724399983882904,3.9940394878387453,1.3848031282424926,0.0697936549782753,0.9989242911338806,1,1.0,5,validation,4.33176607252331e-05,1
8,0,0.2563267767429352,3.998629999160767,1.3859518051147461,0.1398123547434807,0.9997528910636901,3,1.0,5,validation,1.3015012333235217e-05,1
9,0,0.2532127916812897,3.999886703491211,1.386266040802002,0.002093119081109762,0.999979567527771,0,1.0,5,validation,2.2643489972274333e-06,1
10,0,0.262989467382431,3.997448968887329,1.3856564044952393,0.05167938768863678,0.9995398044586181,3,1.0,5,validation,2.821177941682119e-05,1
11,0,0.25175289511680604,3.999919319152832,1.3862741947174073,0.03929864093661308,0.9999854564666748,1,1.0,5,validation,5.380553245327987e-06,1
12,0,0.26275584697723386,3.9982619285583496,1.385859727859497,0.09923437982797623,0.9996864795684814,0,1.0,5,validation,8.257771270197354e-06,1
13,0,0.25550325512886046,3.9994455337524415,1.3861557483673095,0.006032364908605814,0.9999000191688537,0,1.0,5,validation,2.59211547574642e-05,1
14,0,0.2578420102596283,3.998331880569458,1.385877251625061,0.02345191575586796,0.9996991038322449,1,1.0,5,validation,2.8548571586443082e-05,1
15,0,0.26236826181411743,3.997860622406006,1.3857593774795531,0.11247815489768982,0.9996140956878662,3,1.0,5,validation,2.5705763364385103e-05,1
0,1,0.25508551597595214,3.999606132507324,1.3861958980560303,0.10814598724246025,0.9999289751052857,1,1.0,5,train,6.417956247280984e-06,1
1,1,0.2592026114463806,3.997821092605591,1.3857494831085204,0.02589998170733452,0.9996069550514222,0,1.0,5,train,1.0311913623447495e-05,1
2,1,0.26395395398139954,3.997165060043335,1.3855853796005249,0.05067441593855619,0.9994885921478271,1,1.0,5,train,1.8016897809030796e-05,1
3,1,0.2604125440120697,3.998712491989136,1.3859724283218384,0.07086174786090851,0.9997677683830262,3,1.0,5,train,3.544948352889381e-06,1
4,1,0.2525390684604645,3.9998043060302733,1.3862454414367675,0.03703734269365668,0.9999647259712219,3,1.0,5,train,7.473196038559666e-07,1
5,1,0.27047809958457947,3.994418239593506,1.3848979473114014,0.024550260975956917,0.9989926934242248,3,1.0,5,train,3.3139432068431234e-05,1
6,1,0.28529037833213805,3.980364465713501,1.3813733816146851,0.05970777459442615,0.9964502692222595,3,1.0,5,train,6.356110315737981e-05,1
7,1,0.2509880602359772,3.9999571800231934,1.3862836599349975,0.03061217423528433,0.9999922752380371,2,1.0,5,train,7.744017490821703e-07,1
8,1,0.25839932560920714,3.998052215576172,1.3858072996139525,0.10997941251844168,0.999648654460907,2,1.0,5,train,3.0664837460924468e-06,1
9,1,0.26151208877563475,3.99646577835083,1.3854104280471802,0.03289591716602445,0.9993623852729797,3,1.0,5,train,1.8643204784167624e-05,1
10,1,0.2552182078361511,3.9992753982543947,1.386113214492798,0.024864815548062323,0.9998693227767944,0,1.0,5,train,4.88612688348751e-07,1
11,1,0.2566336214542389,3.9990063190460203,1.3860458850860595,0.014235452329739929,0.9998207569122315,0,1.0,5,train,6.8265405490308144e-06,1
12,1,0.2595286011695862,3.9989522457122804,1.3860323667526244,0.09786228090524673,0.9998109936714172,0,1.0,5,train,4.477415855907899e-06,1
13,1,0.25618109107017517,3.999235725402832,1.3861032962799071,0.12553519755601883,0.9998621821403504,0,1.0,5,train,1.0462406540313108e-05,1
14,1,0.2588648974895477,3.9976972103118897,1.3857184886932372,0.12153041660785675,0.9995846033096314,1,1.0,5,train,2.999711748335457e-05,1
15,1,0.2674042105674744,3.9963876724243166,1.3853908777236938,0.06560682654380798,0.999348270893097,3,1.0,5,train,2.8969696951958734e-05,1
0,1,0.2550964832305908,3.9996109008789062,1.3861970901489258,0.0917129710316658,0.9999298334121705,1,1.0,5,validation,5.623722714419876e-06,1
1,1,0.2592840611934662,3.9977723121643067,1.3857372760772706,0.025895051658153534,0.9995981454849243,0,1.0,5,validation,2.3159668329105446e-05,1
2,1,0.2635401010513306,3.997203159332275,1.385594916343689,0.04698347374796867,0.9994954466819763,1,1.0,5,validation,5.6215743983039326e-06,1
3,1,0.2604692459106445,3.9986956119537354,1.3859682083129883,0.08000304773449898,0.9997647166252136,3,1.0,5,validation,4.032024031946126e-06,1
4,1,0.2524844229221344,3.999803161621094,1.3862451553344726,0.03677473291754722,0.9999644875526428,3,0.8,5,validation,3.516168881357342e-07,2
5,1,0.27025811076164247,3.99450569152832,1.3849198341369628,0.019545088335871697,0.9990084886550903,3,1.0,5,validation,4.0501924097458965e-05,1
6,1,0.2852943480014801,3.980269193649292,1.3813494443893433,0.06649187691509724,0.9964329838752747,3,1.0,5,validation,0.00011589540372871158,1
