matched_terms,matching_lines,path,reasons,relative_path,score
"10,000|10000|10_000|generate|n_sequences|num_sequences|savez_compressed|seq_|sequences_dir|simulation|theta",21|25|32|67|71|75|79|83|88|91|95|99|103|111|121|122|123|124|125|127|222|262|369|379|387|390|393|396|400|401|402|410|413|416|419|422|425|477|499|511|573|580|584|590|624|632|633|644|648|652|674|749|754|881|885|889|939|999|1003|1006|1060|1237|1259|1272|1278|1284|1312|1320|1329|1337|1347|1354|1366|1401|1413|1416|1420|1433|1446|1483|1496|1503|1559|1572|1579,D:\47\472\New-Papers\GIS\Codes\New_Branch\experiments\01_core_validation\01_audit_generation_and_theta_split.py,writes_npz|num_sequences|n_sequences|mentions_10000|theta|generate|simulation,New_Branch\experiments\01_core_validation\01_audit_generation_and_theta_split.py,22
generate|np_savez|num_sequences|seq_|sequences_dir|simulation|theta,87|96|106|108|109|119|143|145|146|148|157|182|199|257|261|266|277|279|282|283|286|292|293|300|305|306|310,D:\47\472\New-Papers\GIS\Codes\simulator.py,writes_npz|num_sequences|theta|generate|simulation,simulator.py,15
"10,000|10000|generate|num_sequences|seq_|sequences_dir|simulation",2|3|4|5|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|101|102|103|104|105|106|107|108|137|138|139|140|145|146|147|148|149|150|151|152|153|154|155|156|157|158|159|160|161|162|163|164|165|166|167|168|169|170|171|172|173|174|175|176|177|178|179|180|181|182|183|184|185|186|187|188|189|190|191|192|193|194|195|196|197|198|199|200|201|202|203|204|205|206|207|208|209|210|211|212|213|214|215|216|217|218|219|220|221|222|223|224|225|226|227|228|229|230|231|232|233|234|235|236|237|238|239|240|241|242|243|244|245|246|247|248|250|258|259|262|263|264|265|266|267|268|269|270|271|272|273|274|275|276|277|278|279|280|281|282|283|284|285|286|287|288|289|290|291|292|293|294|295|296|297|298|299|300|301|302|303|304|305|306|307|308|309|310|311|312|313|314|315|316|317|318|319|320|321|322|323|324|325|326|327|328|329|330|331|332|333|334|335|336|337|338|339|340|341|342|343|344|345|346|347|348|349|350|351|352|353|354|355|356|357|358|359|360|361|362|363|364|365|366|367|368|369|370|371|372|373|374|375|376|377|378|379|380|385|386|387|388|389|390|391|392|393|394|395|396|397|398|399|400|401|402|403|404|405|406|407|408|656|657|658|659|660|661|662|663|664|665|666|667,D:\47\472\New-Papers\GIS\Codes\New_Branch\outputs\audit\dataset_location_audit\text_references.csv,num_sequences|mentions_10000|generate|simulation,New_Branch\outputs\audit\dataset_location_audit\text_references.csv,11
"10,000|10000|generate|sequences_dir|simulation",27|71|74|75|76|79|599|600|602|603|606|810|821|825|840|870|877|912|917|983|987|997|1038,D:\47\472\New-Papers\GIS\Codes\New_Branch\experiments\01_core_validation\00_audit_dataset_locations.py,filename:dataset|mentions_10000|generate|simulation,New_Branch\experiments\01_core_validation\00_audit_dataset_locations.py,9
generate|simulation,32,D:\47\472\New-Papers\GIS\Codes\data\READ.md,generate|simulation,data\READ.md,4
"10,000|sequences_dir",4|14|19|21|29,D:\47\472\New-Papers\GIS\Codes\New_Branch\outputs\audit\dataset_location_audit\audit_summary.json,mentions_10000,New_Branch\outputs\audit\dataset_location_audit\audit_summary.json,3
"10,000|sequences_dir",2|3|5,D:\47\472\New-Papers\GIS\Codes\New_Branch\outputs\audit\dataset_location_audit\findings.csv,mentions_10000,New_Branch\outputs\audit\dataset_location_audit\findings.csv,3
generate,61,D:\47\472\New-Papers\GIS\Codes\build_new_branch.py,generate,build_new_branch.py,2
generate|seq_|sequences_dir,1005|1271|2033|2037|2242|2252|2701|2705|2871|3802|3803|6597|6874|13518|15087|15720|16873|19495|19496|19497|19498|19545|19546|19547|19548|19549|19550|19551|19552|19627|19628|19629|19630|19658|19659|19660|19661|19918|19919|19920|19921|19922|19923|19924|19925|20290|20291|20292|20293|20294|20386|20870|21026|22337|22476|24179|24335|27659|27667|27676|27679|27681|29392|29393|29394|29395|29396|29397|29398|29399|29400|29401|29402|29403|29404|29405|29406|29407|29408|29409|29410|29411|29412|29413|29414|29415|29416|29417|29418|29419|29420|29421|29422|29423|29424|29425|29426|29427|29428|29429|29430|29431|29432|29433|29434|29435|29436|29437|29438|29439|29440|29441|29442|29443|29444|29445|29446|29447|29448|29449|29450|29451|29452|29453|29454|29455|29456|29457|29458|29459|29460|29461|29462|29463|29464|29465|29466|29467|29468|29469|29470|29471|29472|29473|29474|29475|29476|29477|29478|29479|29480|29481|29482|29483|29484|29485|29486|29487|29488|29489|29490|29491|29492|33182|36842|37119|47450|54407|54507|54861|55542|55590|55625|56556|57095|57099,D:\47\472\New-Papers\GIS\Codes\folder_structure.txt,generate,folder_structure.txt,2
generate,24,D:\47\472\New-Papers\GIS\Codes\New_Branch\README.md,generate,New_Branch\README.md,2
