batch_index,delta_hhi,delta_max_influence,delta_normalized_entropy,dominant_agent_changed,dominant_agent_from,dominant_agent_to,epoch_from,epoch_to
0,0.005260239540020417,-0.012841367488049121,-0.0044967945733956904,1,8,13,0,1
0,-0.011409636017646371,0.0030264266595375344,0.02342224590452724,1,13,8,1,2
0,0.003690270174871446,0.013856810097846312,0.0011444051111764164,1,8,15,2,3
0,-0.0012382713538273693,-0.03611245698386481,-0.007159431214816769,0,15,15,3,4
0,0.007213313201327523,0.029105078508036036,-0.010608447429485746,1,15,12,4,5
1,-0.0037114327395458696,-0.0440860851392437,0.005018251089445314,1,8,14,0,1
1,-0.00659457418715205,0.008442881520256185,0.018211255973946572,1,14,8,1,2
1,0.011331307607927277,0.044618704470884174,-0.020436340058652136,1,8,15,2,3
1,0.005455595975285318,-0.031959695455787196,-0.023874349630328084,1,15,11,3,4
1,-0.003473543634912174,-0.007306242918440509,0.015033728043115535,1,11,14,4,5
2,-0.00847111148211982,-0.025499180983807546,0.0339658016553811,1,8,14,0,1
2,-0.0007016295430365416,0.02160903456378055,0.0014809412911078734,0,14,14,1,2
2,0.004439420731682631,-0.010834296706972474,-0.02414804777428048,1,14,15,2,3
2,-0.008156426442710446,-0.009250970430329936,0.03362104130416521,0,15,15,3,4
2,0.006200988361338422,-0.0035421986715891973,-0.021208540367691597,0,15,15,4,5
3,0.01476242506966706,0.07656098385501604,-0.02182694728802448,0,6,6,0,1
3,-0.009432674831422336,-0.06112957257731161,0.010570283922009649,1,6,7,1,2
3,0.0040697613860167375,0.006220966667895178,-0.006328619517245282,1,7,6,2,3
3,-0.006544803774860955,-0.00832550188208761,0.015322863623173921,1,6,15,3,4
3,0.016527161600027707,0.03451864054578416,-0.04128996391629092,1,15,6,4,5
4,-0.0002440940560879401,-0.0013235602111737188,0.004870984693095215,1,8,13,0,1
4,-0.012155818273991037,-0.025727708195496524,0.034139698186388734,1,13,7,1,2
4,0.008612640616140033,0.04434209811096684,-0.025730320741619517,1,7,15,2,3
4,0.010876398289137792,-0.016576128766726844,-0.025334562235467484,1,15,11,3,4
4,-0.00746965319214872,-0.016243238233251786,0.013409158563450596,1,11,12,4,5
