agent_id,delta_dominant_probability,delta_effective_experts,delta_normalized_gate_entropy,dominant_expert_changed,epoch_from,epoch_to,modal_expert_from,modal_expert_to,split
0,-0.0029793024063110574,0.0007323741912843573,0.00013211965560921968,1,0,1,3,1,validation
0,-0.0020268380641937367,0.00010461807250994326,1.8870830535866467e-05,0,1,2,1,1,validation
0,-0.0005049645900725985,5.044937133780181e-05,9.083747863791736e-06,0,2,3,1,1,validation
0,-0.00012074112892151989,6.208419799813569e-05,1.1205673217773438e-05,0,3,4,1,1,validation
0,9.362697601317249e-05,-5.722045899325678e-07,-9.536743172944284e-08,0,4,5,1,1,validation
1,0.006698602437973045,-0.0018589973449705255,-0.0003353714942931907,0,0,1,0,0,validation
1,-0.0006257712841034047,-0.0002418994903563565,-4.364252090449661e-05,0,1,2,0,0,validation
1,-0.0025689303874969482,0.0009263992309569424,0.00016716718673703834,1,2,3,0,1,validation
1,-0.0003152430057525857,0.0002862930297848898,5.161762237548828e-05,0,3,4,1,1,validation
1,0.0004841744899750089,0.00014934539794930757,2.6941299438476562e-05,0,4,5,1,1,validation
2,0.0076669692993164285,-0.0022043228149417615,-0.0003976941108703169,0,0,1,1,1,validation
2,0.005719602108001709,-0.0031283378601072442,-0.0005647540092468262,0,1,2,1,1,validation
2,0.005028057098388661,-0.0022628784179685724,-0.00040881633758549363,0,2,3,1,1,validation
2,0.0014621913433074951,-0.0004674911499025214,-8.449554443357155e-05,0,3,4,1,1,validation
2,0.003568977117538452,-0.0020936965942381924,-0.0003784775733947088,0,4,5,1,1,validation
3,0.004649007320404019,-0.0009325504302979404,-0.00016824007034299537,1,0,1,0,3,validation
3,-0.001455324888229359,0.00035085678100577056,6.328821182255417e-05,0,1,2,3,3,validation
3,-0.005346345901489247,0.000786828994751243,0.00014193058013911575,0,2,3,3,3,validation
3,0.005103105306625333,-0.0007894992828370029,-0.00014240741729731887,0,3,4,3,3,validation
3,-0.002927619218826283,0.00016465187072745024,2.973079681389823e-05,0,4,5,3,3,validation
4,-0.001940089464187611,0.00012922286987304688,2.3293495178156043e-05,0,0,1,3,3,validation
4,-5.310773849520611e-06,-6.504058837908389e-05,-1.1718273162819592e-05,0,1,2,3,3,validation
4,0.0006005406379699929,-2.7847290038796046e-05,-5.018711090043482e-06,0,2,3,3,3,validation
4,-0.0009238898754119762,0.00012264251708948848,2.212524414058059e-05,1,3,4,3,1,validation
4,0.00018035173416136585,-6.093978881827056e-05,-1.1003017425514905e-05,1,4,5,1,3,validation
5,0.008716100454330467,-0.0031193256378174716,-0.0005630731582642046,0,0,1,3,3,validation
5,-0.0009622275829315186,-0.0004975795745849609,-8.98599624633567e-05,0,1,2,3,3,validation
5,0.00023044943809508167,0.0007549762725833631,0.0001363515853881614,0,2,3,3,3,validation
5,0.003921943902969349,-0.002108383178711204,-0.00038082599639888137,0,3,4,3,3,validation
5,0.0011260271072388028,-0.0008519172668455255,-0.00015392303466799095,0,4,5,3,3,validation
6,0.026038509607315075,-0.018290615081787198,-0.0033072590827941672,0,0,1,3,3,validation
6,-0.0003766596317291704,-0.0009912967681886542,-0.00017966032028204904,0,1,2,3,3,validation
6,-0.005392777919769276,0.006191587448120206,0.00112152099609375,0,2,3,3,3,validation
6,0.010067230463027987,-0.012528419494628906,-0.002271151542663552,0,3,4,3,3,validation
6,-0.007002800703048706,0.007884836196899503,0.0014301896095275657,0,4,5,3,3,validation
7,-0.021457821130752563,0.005912160873412731,0.0010669946670532893,0,0,1,1,1,validation
7,0.0005146920680999534,-1.8119812010830572e-06,-3.3378601083100534e-07,1,1,2,1,2,validation
7,0.000557464361190807,-2.5272369384765625e-05,-4.553794860751026e-06,1,2,3,2,1,validation
7,0.004084801673889138,-0.00043516159057599424,-7.848739624027878e-05,1,3,4,1,2,validation
7,-0.0018867433071136364,8.544921875008882e-05,1.5425682067915503e-05,0,4,5,2,2,validation
8,0.0019716560840606356,-0.0005764484405519354,-0.00010399818420403495,1,0,1,3,2,validation
8,-0.0004936516284942405,0.00036921501159659087,6.663799285888672e-05,0,1,2,2,2,validation
8,-0.0014504134654999001,0.0005788803100585938,0.00010437965393061965,0,2,3,2,2,validation
8,-0.001390975713729814,0.00038504600524902344,6.94870948791948e-05,0,3,4,2,2,validation
8,-0.0006250381469726785,0.00012521743774440708,2.2578239440851355e-05,0,4,5,2,2,validation
9,0.00835495591163632,-0.0034810543060306287,-0.0006280422210692693,1,0,1,0,3,validation
9,-0.0009046554565429465,0.0005056858062744141,9.124279022210136e-05,0,1,2,3,3,validation
9,0.0016842186450958252,-0.0022047996520995206,-0.00039801597595212623,0,2,3,3,3,validation
9,0.012312138080596946,-0.007246303558349432,-0.0013096928596496582,1,3,4,3,0,validation
9,0.0036327242851257324,-0.002246332168579279,-0.0004064798355102317,0,4,5,0,0,validation
10,-0.007774978876113892,0.0018281459808351386,0.0003298282623291904,1,0,1,3,0,validation
10,0.011616706848144531,-0.004034280776977539,-0.0007280468940735751,0,1,2,0,0,validation
10,0.011112242937088013,-0.007554388046264737,-0.0013652443885803223,0,2,3,0,0,validation
10,-0.020455324649810758,0.010973882675171076,0.001982378959655806,1,3,4,0,3,validation
10,0.0007951855659484863,-0.0008866310119630683,-0.00015996694564823777,1,4,5,3,0,validation
11,0.004993909597396817,-0.0009524822235107422,-0.0001718163490295188,1,0,1,1,0,validation
11,0.0012666225433349831,-0.0006148338317868429,-0.00011090040206906959,0,1,2,0,0,validation
11,0.0013243198394775613,-0.0004021167755130506,-7.253885269165039e-05,0,2,3,0,0,validation
11,0.0011580407619475874,-0.00020766258239746094,-3.74913215637207e-05,0,3,4,0,0,validation
11,0.002897888422012329,-0.0015324115753170275,-0.00027654170989999116,0,4,5,0,0,validation
12,-0.003237199783325151,0.0006877422332762784,0.00012407302856443092,0,0,1,0,0,validation
12,-0.0025962531566620095,1.6307830810635693e-05,2.9206275939941406e-06,0,1,2,0,0,validation
12,-0.0019565224647521973,0.00048527717590340913,8.757114410407052e-05,0,2,3,0,0,validation
12,-0.0019081771373749001,0.0002505302429196554,4.515647888181373e-05,0,3,4,0,0,validation
12,0.0003166794776916504,3.280639648473027e-05,5.936622619606702e-06,1,4,5,0,1,validation
13,0.0007003843784332275,-0.00021800994873055757,-3.932714462273612e-05,0,0,1,0,0,validation
13,-0.0020298540592193492,0.0005172729492186612,9.3293190002397e-05,0,1,2,0,0,validation
13,-0.0024175286293030007,0.00021667480468767764,3.905296325679153e-05,0,2,3,0,0,validation
13,-0.0007125675678252841,5.817413330166943e-06,1.0728836059570312e-06,1,3,4,0,2,validation
13,0.0002086937427520641,-7.629394533914535e-07,-1.5497207639381116e-07,0,4,5,2,2,validation
14,0.0008539557456970215,-0.0005735874176027167,-0.00010349750518801049,0,0,1,1,1,validation
14,-0.00270363092422482,0.0012022495269774502,0.00021690130233764648,0,1,2,1,1,validation
14,-0.0020194113254547452,0.0004227161407470703,7.627010345456764e-05,1,2,3,1,2,validation
14,-0.0010960102081298828,0.0004414558410648084,7.96198844910112e-05,1,3,4,2,1,validation
14,-0.0010454893112182284,9.841918945285855e-05,1.7750263214044715e-05,0,4,5,1,1,validation
15,0.0047278523445129506,-0.0013098716735839844,-0.00023641586303713158,0,0,1,3,3,validation
15,0.0030847787857055664,-0.0011217117309572089,-0.00020246505737298026,0,1,2,3,3,validation
15,-0.0022351324558257946,0.000790309906006037,0.00014268159866326346,0,2,3,3,3,validation
15,0.0047694087028503085,-0.0022343158721924716,-0.0004034280776976651,0,3,4,3,3,validation
15,0.003418731689453114,-0.001912498474121005,-0.0003455042839051181,0,4,5,3,3,validation
