dominant_expert_utilization_entropy,dominant_expert_utilization_entropy_normalized,epoch,expert_0_count,expert_0_fraction,expert_1_count,expert_1_fraction,expert_2_count,expert_2_fraction,expert_3_count,expert_3_fraction,split,total_agent_observations
1.0717300941124526,0.7730898459737487,0,25,0.3125,20,0.25,0,0.0,35,0.4375,validation,80
1.3050963719483404,0.9414280318460244,1,25,0.3125,15,0.1875,10,0.125,30,0.375,train,80
1.281899737877826,0.9246951973766009,1,26,0.325,18,0.225,7,0.0875,29,0.3625,validation,80
1.3050963719483404,0.9414280318460244,2,25,0.3125,15,0.1875,10,0.125,30,0.375,train,80
1.306917972115883,0.9427420386101225,2,26,0.325,15,0.1875,10,0.125,29,0.3625,validation,80
1.320888343149322,0.9528195311147831,3,20,0.25,20,0.25,10,0.125,30,0.375,train,80
1.3254385513886329,0.9561018125457161,3,21,0.2625,20,0.25,10,0.125,29,0.3625,validation,80
1.3232651400805793,0.9545340276877456,4,13,0.1625,26,0.325,13,0.1625,28,0.35,train,80
1.32372820894596,0.9548680612655831,4,13,0.1625,27,0.3375,13,0.1625,27,0.3375,validation,80
1.3312170575710778,0.9602701236522958,5,13,0.1625,25,0.3125,14,0.175,28,0.35,test,80
1.339219313831944,0.966042531364033,5,13,0.1625,25,0.3125,15,0.1875,27,0.3375,train,80
1.3321610142702691,0.9609510444766645,5,13,0.1625,26,0.325,14,0.175,27,0.3375,validation,80
