agent_id,delta_dominant_probability,delta_effective_experts,delta_normalized_gate_entropy,final_dominant_probability,final_effective_experts,final_epoch,final_modal_expert,final_normalized_gate_entropy,initial_dominant_probability,initial_effective_experts,initial_epoch,initial_modal_expert,initial_normalized_gate_entropy,modal_expert_changed
0,-0.00553821921348574,0.0009489536285403055,0.00017118453979492188,0.2525375664234161,3.999827480316162,5,1,0.9999688982963562,0.25807578563690187,3.998878526687622,0,3,0.9997977137565612,1
1,0.003672832250595115,-0.0007388591766357422,-0.0001332879066466841,0.25625829100608827,3.9988924503326415,5,1,0.9998002290725708,0.25258545875549315,3.9996313095092773,0,0,0.9999335169792175,1
2,0.023445796966552745,-0.010156726837158292,-0.001834237575530917,0.2793189287185669,3.9892507553100587,5,1,0.9980589032173157,0.25587313175201415,3.999407482147217,0,1,0.9998931407928466,0
3,2.2822618484463764e-05,-0.00041971206665047944,-7.56978988647461e-05,0.25584306120872496,3.999208450317383,5,3,0.9998572587966919,0.2558202385902405,3.9996281623840333,0,0,0.9999329566955566,1
4,-0.002088397741317749,9.803771972638486e-05,1.7678737640358655e-05,0.2523361146450043,3.999771976470947,5,3,0.999958872795105,0.254424512386322,3.999673938751221,0,3,0.9999411940574646,0
5,0.013032293319702182,-0.005822229385375799,-0.0010513305664062722,0.2745743036270142,3.991802787780762,5,3,0.9985202312469482,0.261542010307312,3.9976250171661376,0,3,0.9995715618133545,0
6,0.02333350181579591,-0.01773390769958505,-0.0032063603401184526,0.28258934020996096,3.980825901031494,5,3,0.9965338826179504,0.25925583839416505,3.998559808731079,0,3,0.9997402429580688,0
7,-0.0181876063346863,0.0055353641510009766,0.000999045372009344,0.2542523920536041,3.9995748519897463,5,2,0.9999233365058899,0.2724399983882904,3.9940394878387453,0,1,0.9989242911338806,1
8,-0.0019884228706359974,0.0008819103240966797,0.00015908479690551758,0.2543383538722992,3.9995119094848635,5,2,0.9999119758605957,0.2563267767429352,3.998629999160767,0,3,0.9997528910636901,1
9,0.025079381465911876,-0.014672803878784446,-0.002650988101959184,0.27829217314720156,3.9852138996124267,5,0,0.9973285794258118,0.2532127916812897,3.999886703491211,0,0,0.999979567527771,0
10,-0.004706168174743619,0.00032672882080087007,5.894899368286133e-05,0.2582832992076874,3.99777569770813,5,0,0.999598753452301,0.262989467382431,3.997448968887329,0,3,0.9995398044586181,1
11,0.011640781164169278,-0.003709506988525124,-0.0006692886352539507,0.2633936762809753,3.996209812164307,5,0,0.9993161678314209,0.25175289511680604,3.999919319152832,0,1,0.9999854564666748,1
12,-0.009381473064422607,0.0014726638793947089,0.000265657901763916,0.25337437391281126,3.9997345924377443,5,1,0.9999521374702454,0.26275584697723386,3.9982619285583496,0,0,0.9996864795684814,1
13,-0.004250872135162342,0.0005209922790525567,9.393692016601562e-05,0.2512523829936981,3.999966526031494,5,2,0.9999939560890198,0.25550325512886046,3.9994455337524415,0,0,0.9999000191688537,1
14,-0.006010586023330655,0.0015912532806394708,0.00028704404830925956,0.2518314242362976,3.9999231338500976,5,1,0.9999861478805542,0.2578420102596283,3.998331880569458,0,1,0.9996991038322449,0
15,0.013765639066696145,-0.005788087844848633,-0.0010451316833496316,0.2761339008808136,3.9920725345611574,5,3,0.9985689640045166,0.26236826181411743,3.997860622406006,0,3,0.9996140956878662,0
