agent_i,agent_j,batch_index,epoch,mean_absolute_disagreement,overlap_height,overlap_width,split
0,1,0,0,0.013085023500025272,40,16,validation
0,4,0,0,0.004284846130758524,16,40,validation
0,5,0,0,0.01622796058654785,16,16,validation
1,2,0,0,0.0044305031187832355,40,16,validation
1,4,0,0,0.009485782124102116,16,16,validation
1,5,0,0,0.0017342603532597423,16,48,validation
1,6,0,0,0.004651191644370556,16,16,validation
2,3,0,0,0.002405390841886401,40,16,validation
2,5,0,0,0.006991631351411343,16,16,validation
2,6,0,0,0.00046622881200164557,16,48,validation
2,7,0,0,0.005353355314582586,16,16,validation
3,6,0,0,0.0019720690324902534,16,16,validation
3,7,0,0,0.003264172002673149,16,40,validation
4,5,0,0,0.00830855406820774,48,16,validation
4,8,0,0,0.002133056754246354,16,40,validation
4,9,0,0,0.0067182802595198154,16,16,validation
5,6,0,0,0.0048769377171993256,48,16,validation
5,8,0,0,0.002565092407166958,16,16,validation
5,9,0,0,0.0035503769759088755,16,48,validation
5,10,0,0,0.006018190179020166,16,16,validation
6,7,0,0,0.0048615592531859875,48,16,validation
6,9,0,0,0.006946364417672157,16,16,validation
6,10,0,0,0.003365875920280814,16,48,validation
6,11,0,0,0.003565233899280429,16,16,validation
7,10,0,0,0.008416671305894852,16,16,validation
7,11,0,0,0.006716552656143904,16,40,validation
8,9,0,0,0.01073706429451704,48,16,validation
8,12,0,0,0.0022509335540235043,16,40,validation
8,13,0,0,0.011416340246796608,16,16,validation
9,10,0,0,0.01274471078068018,48,16,validation
9,12,0,0,0.016154052689671516,16,16,validation
9,13,0,0,0.002097649499773979,16,48,validation
9,14,0,0,0.004990290384739637,16,16,validation
10,11,0,0,0.0005570838693529367,48,16,validation
10,13,0,0,0.01440087053924799,16,16,validation
10,14,0,0,0.011466171592473984,16,48,validation
10,15,0,0,0.0032381124328821898,16,16,validation
11,14,0,0,0.011330511420965195,16,16,validation
11,15,0,0,0.0028055673465132713,16,40,validation
12,13,0,0,0.011301527731120586,40,16,validation
13,14,0,0,0.0029679329600185156,40,16,validation
14,15,0,0,0.008612319827079773,40,16,validation
0,1,1,0,0.011400209739804268,40,16,validation
0,4,1,0,0.00373918772675097,16,40,validation
0,5,1,0,0.013378155417740345,16,16,validation
1,2,1,0,0.004414123483002186,40,16,validation
1,4,1,0,0.007788850460201502,16,16,validation
1,5,1,0,0.0016383664915338159,16,48,validation
1,6,1,0,0.0034196709748357534,16,16,validation
2,3,1,0,0.0019803086761385202,40,16,validation
2,5,1,0,0.005128983408212662,16,16,validation
2,6,1,0,0.00045794391189701855,16,48,validation
2,7,1,0,0.0041502355597913265,16,16,validation
3,6,1,0,0.0014724188949912786,16,16,validation
3,7,1,0,0.002811201848089695,16,40,validation
4,5,1,0,0.00786755234003067,48,16,validation
4,8,1,0,0.0027983065228909254,16,40,validation
4,9,1,0,0.011205052956938744,16,16,validation
5,6,1,0,0.004438591189682484,48,16,validation
5,8,1,0,0.00427776575088501,16,16,validation
5,9,1,0,0.003690971527248621,16,48,validation
5,10,1,0,0.00827357079833746,16,16,validation
6,7,1,0,0.0049959952011704445,48,16,validation
6,9,1,0,0.009523616172373295,16,16,validation
6,10,1,0,0.004148290492594242,16,48,validation
6,11,1,0,0.0038699344731867313,16,16,validation
7,10,1,0,0.009116282686591148,16,16,validation
7,11,1,0,0.00802602805197239,16,40,validation
8,9,1,0,0.010120809078216553,48,16,validation
8,12,1,0,0.0019126448314636946,16,40,validation
8,13,1,0,0.010031232610344887,16,16,validation
9,10,1,0,0.011507471092045307,48,16,validation
9,12,1,0,0.014084415510296822,16,16,validation
9,13,1,0,0.001941769733093679,16,48,validation
9,14,1,0,0.0030480497516691685,16,16,validation
10,11,1,0,0.00044477710616774857,48,16,validation
10,13,1,0,0.009319127537310123,16,16,validation
10,14,1,0,0.009002081118524075,16,48,validation
10,15,1,0,0.0022364682517945766,16,16,validation
11,14,1,0,0.008208884857594967,16,16,validation
11,15,1,0,0.002483305986970663,16,40,validation
12,13,1,0,0.01063030306249857,40,16,validation
