mode,level,metric,baseline,sacu
noise,0.05,MAE_mean,0.0147600623468558,0.033144985387722654
noise,0.05,RMSE_mean,0.02257865568002065,0.05674814408024152
noise,0.05,Residual_mean,0.002872886322438717,0.0004340158232177297
noise,0.1,MAE_mean,0.018632380788524947,0.03314525969326496
noise,0.1,RMSE_mean,0.02706832575301329,0.05674784357349078
noise,0.1,Residual_mean,0.0038350199194004137,0.0004788058693520725
noise,0.2,MAE_mean,0.03143867515027523,0.03314746879041195
noise,0.2,RMSE_mean,0.04257465501626333,0.056747705489397046
noise,0.2,Residual_mean,0.006857156722495953,0.0007609342768167456
dropout,0.05,MAE_mean,0.013551657274365424,0.033145496249198915
dropout,0.05,RMSE_mean,0.021632747848828633,0.056748125205437344
dropout,0.05,Residual_mean,0.0026019204718371234,0.0005286636393672476
dropout,0.1,MAE_mean,0.013956561808784802,0.03314599891503652
dropout,0.1,RMSE_mean,0.02264906788865725,0.05674799904227257
dropout,0.1,Residual_mean,0.002657332178205252,0.0006075031279275815
dropout,0.2,MAE_mean,0.01546797224630912,0.03314691459139188
dropout,0.2,RMSE_mean,0.02592050445576509,0.05674773628513018
dropout,0.2,Residual_mean,0.0027102054717640083,0.0007168953656218946
drift,0.05,MAE_mean,0.014704107617338499,0.033145518973469734
drift,0.05,RMSE_mean,0.02283946474393209,0.056747989853223164
drift,0.05,Residual_mean,0.00290889386087656,0.0005395295661098014
drift,0.1,MAE_mean,0.01816838396092256,0.03314631246030331
drift,0.1,RMSE_mean,0.027136551464597383,0.056747625768184665
drift,0.1,Residual_mean,0.003727844388534625,0.0006452338420785964
drift,0.2,MAE_mean,0.028092745194832482,0.03314889731506507
drift,0.2,RMSE_mean,0.03940932850042979,0.05674724653363228
drift,0.2,Residual_mean,0.005968191754072904,0.0009112800277459124
