batch_index,dominant_expert_0_count,dominant_expert_1_count,dominant_expert_2_count,dominant_expert_3_count,epoch,global_mae,global_residual,global_rmse,mean_gate_entropy,mean_gate_entropy_normalized,mean_influence_entropy,mean_influence_entropy_normalized,mean_max_gate_probability,mean_max_influence,number_of_agents,number_of_micro_experts,split
0,5,4,0,7,0,0.03557626157999039,0.00691221421584487,0.0658905878663063,1.385938286781311,0.9997431039810181,2.51863169670105,0.9084043502807617,0.258306622505188,0.16494886577129364,16,4,validation
1,5,4,0,7,0,0.023841476067900658,0.004805537406355143,0.052502281963825226,1.38594651222229,0.9997490644454956,2.4906182289123535,0.8983006477355957,0.2582383155822754,0.1732882559299469,16,4,validation
2,5,4,0,7,0,0.015505917370319366,0.0085652656853199,0.03597052022814751,1.3859362602233887,0.9997416138648987,2.475285053253174,0.8927703499794006,0.2582588195800781,0.15685181319713593,16,4,validation
3,5,4,0,7,0,0.04416879639029503,0.008931180462241173,0.08383174240589142,1.3859307765960693,0.9997377395629883,2.5415337085723877,0.9166645407676697,0.2583654820919037,0.12463869899511337,16,4,validation
4,5,4,0,7,0,0.0185545701533556,0.005578610114753246,0.04181342571973801,1.385940432548523,0.999744713306427,2.5249617099761963,0.9106874465942383,0.2583208978176117,0.13652314245700836,16,4,validation
0,5,3,2,6,1,0.023319590836763382,0.0004891753778792918,0.04031948745250702,1.3855531215667725,0.99946528673172,2.5025217533111572,0.9025939106941223,0.2607102394104004,0.1441812813282013,16,4,train
1,5,3,2,6,1,0.03820164501667023,0.0005605778424069285,0.06049879267811775,1.3855617046356201,0.9994715452194214,2.43117618560791,0.8768614530563354,0.2607353925704956,0.19014590978622437,16,4,train
2,5,3,2,6,1,0.03815882280468941,0.0005374460597522557,0.0652976706624031,1.3855646848678589,0.9994736313819885,2.509913921356201,0.9052600860595703,0.26067018508911133,0.14529500901699066,16,4,train
3,5,3,2,6,1,0.02530219405889511,0.0005174675607122481,0.038142550736665726,1.3855606317520142,0.9994707703590393,2.510014057159424,0.9052962064743042,0.26071983575820923,0.1472427248954773,16,4,train
4,5,3,2,6,1,0.053319863975048065,0.0005565005703829229,0.08290651440620422,1.3855490684509277,0.999462366104126,2.4738452434539795,0.8922510743141174,0.26081812381744385,0.154033824801445,16,4,train
0,5,3,2,6,1,0.038949016481637955,0.0005240851896815002,0.06217632815241814,1.38555908203125,0.9994696378707886,2.506164073944092,0.9039075970649719,0.2606944739818573,0.15210750699043274,16,4,validation
1,5,3,2,6,1,0.02955865114927292,0.0004961605882272124,0.049172792583703995,1.3855658769607544,0.9994744658470154,2.5045318603515625,0.9033189415931702,0.2606140077114105,0.12920217216014862,16,4,validation
2,6,4,1,5,1,0.02077016420662403,0.0005618726718239486,0.03394518420100212,1.385549545288086,0.9994627833366394,2.569458246231079,0.9267361760139465,0.26068902015686035,0.13135264813899994,16,4,validation
3,5,4,1,6,1,0.045186713337898254,0.0005760333151556551,0.07998081296682358,1.3855500221252441,0.9994630813598633,2.4810163974761963,0.894837498664856,0.2606753706932068,0.20119968056678772,16,4,validation
4,5,4,1,6,1,0.024809403344988823,0.00046392317744903266,0.038672395050525665,1.3855705261230469,0.9994779825210571,2.5384669303894043,0.915558397769928,0.2606867551803589,0.13519959151744843,16,4,validation
0,5,3,2,6,2,0.024677898734807968,0.0006464234902523458,0.0406719446182251,1.3854334354400635,0.9993789196014404,2.5482711791992188,0.9190945625305176,0.26123344898223877,0.13754819333553314,16,4,train
1,5,3,2,6,2,0.03915315493941307,0.0008655848796479404,0.06056797504425049,1.3854398727416992,0.9993836283683777,2.47308611869812,0.8919772505760193,0.26125478744506836,0.15864089131355286,16,4,train
2,5,3,2,6,2,0.03900694102048874,0.0008288650424219668,0.06505143642425537,1.3854448795318604,0.999387264251709,2.614137887954712,0.9428509473800659,0.26118505001068115,0.1363702267408371,16,4,train
3,5,3,2,6,2,0.026912299916148186,0.0007303792517632246,0.03867793828248978,1.3854422569274902,0.9993852972984314,2.5784502029418945,0.9299793243408203,0.26123934984207153,0.16887220740318298,16,4,train
4,5,3,2,6,2,0.0536453016102314,0.0007862235070206225,0.08254621177911758,1.3854305744171143,0.9993768930435181,2.606532096862793,0.9401077032089233,0.26133424043655396,0.1507488638162613,16,4,train
0,5,3,2,6,2,0.03945184871554375,0.0006985182408243418,0.061937715858221054,1.3854405879974365,0.9993842244148254,2.5711045265197754,0.927329957485199,0.26120972633361816,0.1551339477300644,16,4,validation
1,5,3,2,6,2,0.030694032087922096,0.0005286857485771179,0.04930967092514038,1.3854460716247559,0.9993880987167358,2.5550241470336914,0.9215301871299744,0.26113077998161316,0.13764505088329315,16,4,validation
2,6,3,2,5,2,0.02236988954246044,0.0009200648055411875,0.03467772528529167,1.3854320049285889,0.999377965927124,2.573564052581787,0.9282169938087463,0.2611815929412842,0.15296167135238647,16,4,validation
3,5,3,2,6,2,0.04629557207226753,0.0008684928179718554,0.08014830946922302,1.385430097579956,0.9993765354156494,2.5103237628936768,0.9054079055786133,0.2611559331417084,0.1400701254606247,16,4,validation
4,5,3,2,6,2,0.026281604543328285,0.0005745824309997261,0.03906197100877762,1.3854494094848633,0.9993904829025269,2.633122444152832,0.9496981501579285,0.2611885368824005,0.1094718873500824,16,4,validation
0,4,4,2,6,3,0.024430766701698303,0.000928445253521204,0.04083696007728577,1.3854155540466309,0.999366044998169,2.493300437927246,0.8992680311203003,0.26094669103622437,0.16406787931919098,16,4,train
1,4,4,2,6,3,0.039732083678245544,0.001140911364927888,0.06090265139937401,1.3854165077209473,0.9993666410446167,2.4368433952331543,0.8789054751396179,0.2610032558441162,0.1531132310628891,16,4,train
2,4,4,2,6,3,0.03861888498067856,0.0011291180271655321,0.06506193429231644,1.3854234218597412,0.9993717670440674,2.564972162246704,0.9251181483268738,0.2609434723854065,0.1380242258310318,16,4,train
3,4,4,2,6,3,0.026622548699378967,0.001101394766010344,0.038970429450273514,1.3854238986968994,0.999372124671936,2.5303258895874023,0.9126221537590027,0.2609509527683258,0.11810280382633209,16,4,train
4,4,4,2,6,3,0.05347666144371033,0.0011139867128804326,0.08261089026927948,1.3854130506515503,0.9993642568588257,2.5642387866973877,0.9248536229133606,0.26111969351768494,0.14682841300964355,16,4,train
0,4,4,2,6,3,0.03915676474571228,0.0010663431603461504,0.06195822358131409,1.385421633720398,0.9993704557418823,2.57427716255188,0.9284742474555969,0.2609512209892273,0.16899074614048004,16,4,validation
1,4,4,2,6,3,0.030603092163801193,0.0008933385834097862,0.04937146604061127,1.3854241371154785,0.9993722438812256,2.4983625411987305,0.9010937809944153,0.2608679533004761,0.18226374685764313,16,4,validation
2,5,4,2,5,3,0.02170964889228344,0.0011685681529343128,0.034742970019578934,1.3854137659072876,0.9993647336959839,2.5066118240356445,0.9040691256523132,0.2610214352607727,0.1421273797750473,16,4,validation
3,4,4,2,6,3,0.0468989722430706,0.0011871395399793983,0.08033639192581177,1.3854130506515503,0.9993642568588257,2.492776870727539,0.8990792036056519,0.2609935402870178,0.1462910771369934,16,4,validation
4,4,4,2,6,3,0.02635050378739834,0.0008659838931635022,0.03942635655403137,1.3854268789291382,0.999374270439148,2.5617828369140625,0.9239678382873535,0.26098406314849854,0.15381397306919098,16,4,validation
0,2,6,3,5,4,0.02402515895664692,0.00042373224277980626,0.04081892967224121,1.3852007389068604,0.9992111325263977,2.474790096282959,0.8925918340682983,0.2619953751564026,0.15668129920959473,16,4,train
1,2,6,2,6,4,0.037950560450553894,0.0005993128870613873,0.060469284653663635,1.385206937789917,0.9992156028747559,2.420980453491211,0.8731841444969177,0.2620187997817993,0.16101153194904327,16,4,train
2,3,5,3,5,4,0.03912605345249176,0.0005331941065378487,0.06554799526929855,1.3852100372314453,0.9992178678512573,2.6062188148498535,0.939994752407074,0.2620108127593994,0.12223213911056519,16,4,train
3,3,5,3,5,4,0.027275793254375458,0.0005240050959400833,0.03931169584393501,1.3852070569992065,0.9992157220840454,2.5498931407928467,0.9196795225143433,0.26207053661346436,0.14073032140731812,16,4,train
4,3,4,2,7,4,0.05406191200017929,0.000555739679839462,0.08294554054737091,1.3851945400238037,0.9992066621780396,2.598780393600464,0.9373118877410889,0.2621003985404968,0.13073305785655975,16,4,train
0,3,5,3,5,4,0.03941294550895691,0.0004932441515848041,0.06224896013736725,1.3852087259292603,0.9992169141769409,2.554427146911621,0.9213148355484009,0.26198652386665344,0.13287828862667084,16,4,validation
1,2,6,3,5,4,0.02976839244365692,0.0003851364308502525,0.049261391162872314,1.385215401649475,0.999221682548523,2.432168960571289,0.8772194981575012,0.26190775632858276,0.15030406415462494,16,4,validation
