file_a,file_b,rank,split_a,split_b,standardized_theta_distance,theta_a,theta_b
seq_000040.npz,seq_000071.npz,1,train,validation,0.14861810843639306,"(0.9223626852035522, 0.007307552732527256, 0.09876511991024017)","(0.9199134111404419, 0.02225080318748951, 0.09989570081233978)"
seq_000019.npz,seq_000083.npz,2,train,validation,0.21862464731018022,"(1.1833505630493164, 0.2234497368335724, 0.07785829901695251)","(1.185312271118164, 0.21131061017513275, 0.07192295789718628)"
seq_000009.npz,seq_000070.npz,3,train,validation,0.2895346159152396,"(1.1433424949645996, 0.08349870890378952, 0.055252112448215485)","(1.1722438335418701, 0.05948270112276077, 0.05513106659054756)"
seq_000056.npz,seq_000083.npz,4,train,validation,0.328788369156742,"(1.165247917175293, 0.20839790999889374, 0.08171271532773972)","(1.185312271118164, 0.21131061017513275, 0.07192295789718628)"
seq_000003.npz,seq_000076.npz,5,train,validation,0.3319141787538359,"(1.2391399145126343, 0.02123384363949299, 0.05467250570654869)","(1.2679640054702759, 0.022181646898388863, 0.06375584006309509)"
seq_000049.npz,seq_000074.npz,6,train,validation,0.3537615574695767,"(1.0514092445373535, 0.06197492778301239, 0.08367618173360825)","(1.0012387037277222, 0.06776662915945053, 0.07809770107269287)"
seq_000043.npz,seq_000074.npz,7,train,validation,0.36822846408883625,"(0.9422464370727539, 0.06301657855510712, 0.07553621381521225)","(1.0012387037277222, 0.06776662915945053, 0.07809770107269287)"
seq_000007.npz,seq_000075.npz,8,train,validation,0.4303799528578594,"(1.3852753639221191, 0.14616091549396515, 0.02179279737174511)","(1.3187068700790405, 0.14338146150112152, 0.016958247870206833)"
seq_000027.npz,seq_000082.npz,9,train,validation,0.4331081974609432,"(0.9029915928840637, 0.2214425951242447, 6.46870830678381e-05)","(0.951781690120697, 0.25337475538253784, 0.0026341998018324375)"
seq_000005.npz,seq_000082.npz,10,train,validation,0.43694678153362937,"(0.9426007270812988, 0.29518988728523254, 0.007849318906664848)","(0.951781690120697, 0.25337475538253784, 0.0026341998018324375)"
seq_000025.npz,seq_000088.npz,1,train,test,0.14807454314061563,"(1.2125110626220703, 0.12636972963809967, 0.03359905630350113)","(1.2096662521362305, 0.11119366437196732, 0.032978471368551254)"
seq_000023.npz,seq_000090.npz,2,train,test,0.253353862790898,"(1.1276668310165405, 0.3381047248840332, 0.028950728476047516)","(1.086050033569336, 0.33827701210975647, 0.027305858209729195)"
seq_000029.npz,seq_000097.npz,3,train,test,0.2596970271975135,"(0.8863927125930786, 0.12146373093128204, 0.09363031387329102)","(0.8806352615356445, 0.1478816121816635, 0.09227919578552246)"
seq_000021.npz,seq_000096.npz,4,train,test,0.2755789539522089,"(0.9981678128242493, 0.3399973511695862, 0.06874999403953552)","(1.0207509994506836, 0.32340899109840393, 0.06320265680551529)"
seq_000062.npz,seq_000089.npz,5,train,test,0.3033754519938606,"(1.2893790006637573, 0.28111809492111206, 0.06662002205848694)","(1.3047542572021484, 0.29277563095092773, 0.058415014296770096)"
seq_000066.npz,seq_000097.npz,6,train,test,0.3438503216088414,"(0.9075226187705994, 0.17861472070217133, 0.09457290917634964)","(0.8806352615356445, 0.1478816121816635, 0.09227919578552246)"
seq_000010.npz,seq_000090.npz,7,train,test,0.3929927229479957,"(1.1511088609695435, 0.34526219964027405, 0.027567032724618912)","(1.086050033569336, 0.33827701210975647, 0.027305858209729195)"
seq_000065.npz,seq_000086.npz,8,train,test,0.45012929198435186,"(0.9103425741195679, 0.08308396488428116, 0.06088486686348915)","(0.935068666934967, 0.11890207976102829, 0.06858756393194199)"
seq_000023.npz,seq_000099.npz,9,train,test,0.4656627990581032,"(1.1276668310165405, 0.3381047248840332, 0.028950728476047516)","(1.1476658582687378, 0.3461039662361145, 0.0425972044467926)"
seq_000010.npz,seq_000099.npz,10,train,test,0.48907498253618753,"(1.1511088609695435, 0.34526219964027405, 0.027567032724618912)","(1.1476658582687378, 0.3461039662361145, 0.0425972044467926)"
seq_000072.npz,seq_000092.npz,1,validation,test,0.4046297818902063,"(1.1768096685409546, 0.30616506934165955, 0.07996317744255066)","(1.1633931398391724, 0.33210816979408264, 0.08927403390407562)"
seq_000079.npz,seq_000099.npz,2,validation,test,0.41954805926898525,"(1.1923969984054565, 0.30891141295433044, 0.04064185917377472)","(1.1476658582687378, 0.3461039662361145, 0.0425972044467926)"
seq_000078.npz,seq_000087.npz,3,validation,test,0.5892652379589977,"(1.2960169315338135, 0.29971471428871155, 0.036030739545822144)","(1.3008760213851929, 0.3347622752189636, 0.05038600414991379)"
seq_000078.npz,seq_000094.npz,4,validation,test,0.5922873666040191,"(1.2960169315338135, 0.29971471428871155, 0.036030739545822144)","(1.263079285621643, 0.24207890033721924, 0.029386304318904877)"
seq_000073.npz,seq_000095.npz,5,validation,test,0.5927068608799485,"(1.3742263317108154, 0.2798694968223572, 0.09559042751789093)","(1.375153660774231, 0.33978843688964844, 0.08821335434913635)"
seq_000084.npz,seq_000091.npz,6,validation,test,0.6427118687597517,"(1.3159613609313965, 0.31515011191368103, 0.008444180712103844)","(1.3335115909576416, 0.2543812394142151, 0.017984949052333832)"
seq_000074.npz,seq_000086.npz,7,validation,test,0.6719333367168264,"(1.0012387037277222, 0.06776662915945053, 0.07809770107269287)","(0.935068666934967, 0.11890207976102829, 0.06858756393194199)"
seq_000079.npz,seq_000087.npz,8,validation,test,0.7271709978674472,"(1.1923969984054565, 0.30891141295433044, 0.04064185917377472)","(1.3008760213851929, 0.3347622752189636, 0.05038600414991379)"
seq_000078.npz,seq_000091.npz,9,validation,test,0.7744494832306764,"(1.2960169315338135, 0.29971471428871155, 0.036030739545822144)","(1.3335115909576416, 0.2543812394142151, 0.017984949052333832)"
seq_000078.npz,seq_000089.npz,10,validation,test,0.7817513842005621,"(1.2960169315338135, 0.29971471428871155, 0.036030739545822144)","(1.3047542572021484, 0.29277563095092773, 0.058415014296770096)"
